;pmid;lead_time;is_web_direct;checkin_date_index;stay_length;booking_status;nb_adults;child_presence;eligible_to_earn_points;points;stay_catotal_eur;hotel_brand;hotel_brand_positionning;hotel_rooms;hotel_sales_organisation;hotel_class;hotel_location_type;hotel_continent;hotel_euro_market;environment_type;declared_stay_type;is_all_member;type_member;is_member_ibis_business;is_member_business_plus;is_member_accor_plus;is_meeting_planner;booking_date_year;booking_date_month;booking_date_day_name;booking_date_is_weekend;checkin_date_year;checkin_date_month;checkin_date_day_name;checkin_date_is_weekend;checkout_date_year;checkout_date_month;checkout_date_day_name;checkout_date_is_weekend;gap_bkg_stay_nights
9633;2528;0.0;0;1;1;A;3.0;0;1;506;222.62;NOVOTEL SUITES;Midscale;127;Southern Europe;D;Prime Location;EUROPE;FRANCE;TOWN;leisure;1;ALL Silver;0;0;0;0;2022.0;1.0;Monday;0;2022;1;Monday;0;2022;1;Tuesday;0;0.0
9638;2531;4.0;0;7;1;A;2.0;0;1;16;0.0;IBIS BUDGET;Economy;167;Northern Europe;D;Prime Location;EUROPE;REST OF EUROPE;TOWN;leisure;1;ALL Silver;0;0;0;0;2022.0;3.0;Wednesday;0;2022;3;Sunday;1;2022;3;Monday;0;0.0
9642;2533;13.0;0;3;1;A;2.0;0;1;313;137.75;NOVOTEL;Midscale;123;Southern Europe;E;Second Location;EUROPE;FRANCE;None;leisure;1;ALL Platinum;0;0;0;0;2021.0;1.0;Thursday;0;2021;7;Wednesday;0;2021;7;Thursday;0;0.0
9647;2533;35.0;0;1;4;A;2.0;0;1;2333;1026.56;NOVOTEL;Midscale;100;Southern Europe;I;Other Location and Suburbs;EUROPE;FRANCE;None;leisure;1;ALL Platinum;0;0;0;0;2022.0;6.0;Monday;0;2022;7;Monday;0;2022;7;Friday;0;0.0
9653;2534;8.0;1;6;1;A;2.0;0;1;93;82.0;IBIS HOTELS;Economy;60;Southern Europe;H;Second Location;EUROPE;FRANCE;None;leisure;1;ALL Classic;0;0;0;0;2022.0;5.0;Friday;0;2022;4;Wednesday;0;2022;5;Friday;0;0.0
9654;2535;1.0;0;5;1;A;1.0;0;1;253;111.2;MERCURE;Midscale;80;Southern Europe;H;Second Location;EUROPE;FRANCE;TOWN;leisure;1;ALL Platinum;0;1;0;0;2021.0;6.0;Thursday;0;2021;6;Friday;0;2021;6;Saturday;1;0.0
9655;2535;4.0;1;5;1;A;1.0;0;1;236;104.0;NOVOTEL;Midscale;201;Southern Europe;B;Second Location;EUROPE;FRANCE;AIRPORT;business;1;ALL Platinum;0;1;0;0;2022.0;2.0;Monday;0;2022;2;Friday;0;2022;2;Saturday;1;0.0
9656;2535;5.0;1;5;4;A;1.0;0;1;1670;734.6;MERCURE;Midscale;60;Southern Europe;A;Prime Location;EUROPE;REST OF EUROPE;TOWN;leisure;1;ALL Platinum;0;1;0;0;2022.0;9.0;Sunday;1;2022;9;Friday;0;2022;9;Tuesday;0;0.0
9657;2535;3.0;1;7;1;A;1.0;0;1;273;120.0;MERCURE;Midscale;345;Southern Europe;B;Second Location;EUROPE;FRANCE;None;business;1;ALL Platinum;0;1;0;0;2021.0;11.0;Thursday;0;2021;11;Sunday;1;2021;11;Monday;0;0.0
9658;2535;0.0;1;1;2;A;1.0;0;1;160;316.9;IBIS HOTELS;Economy;88;Southern Europe;H;Second Location;EUROPE;FRANCE;TOWN;leisure;1;ALL Platinum;0;1;0;0;2021.0;12.0;Tuesday;0;2021;12;Tuesday;0;2021;7;Wednesday;0;0.0
9659;2535;0.0;1;6;1;A;1.0;0;1;228;0.0;GRAND MERCURE;Luxury and Upscale;361;IMEA;A;Prime Location;MIDDLE EAST;MIDDLE EAST;None;business;1;ALL Platinum;0;1;0;0;2022.0;2.0;Saturday;1;2022;2;Saturday;1;2022;2;Sunday;1;0.0
9660;2535;0.0;1;1;1;A;1.0;0;1;349;154.5;NOVOTEL;Midscale;130;Southern Europe;G;Prime Location;EUROPE;FRANCE;TOWN;business;1;ALL Platinum;0;1;0;0;2021.0;8.0;Monday;0;2021;8;Monday;0;2021;8;Tuesday;0;0.0
9661;2535;3.0;1;1;1;A;1.0;0;1;411;181.05;MERCURE;Midscale;188;Southern Europe;A;Prime Location;EUROPE;FRANCE;None;business;1;ALL Platinum;0;1;0;0;2021.0;9.0;Friday;0;2021;9;Monday;0;2021;9;Tuesday;0;0.0
9662;2535;14.0;1;6;1;A;1.0;0;1;389;171.0;MERCURE;Midscale;188;Southern Europe;A;Prime Location;EUROPE;FRANCE;None;leisure;1;ALL Platinum;0;1;0;0;2022.0;6.0;Saturday;1;2022;2;Monday;0;2022;3;Monday;0;0.0
9663;2535;1.0;1;7;1;A;2.0;0;1;88;77.4;IBIS HOTELS;Economy;88;Southern Europe;H;Second Location;EUROPE;FRANCE;TOWN;business;1;ALL Platinum;0;1;0;0;2022.0;5.0;Tuesday;0;2022;6;Friday;0;2022;7;Sunday;1;0.0
9664;2535;2.0;1;5;1;A;1.0;0;1;408;179.55;MERCURE;Midscale;188;Southern Europe;A;Prime Location;EUROPE;FRANCE;None;business;1;ALL Platinum;0;1;0;0;2022.0;9.0;Friday;0;2022;11;Wednesday;0;2022;12;Friday;0;0.0
9666;2535;1.0;1;1;1;A;1.0;0;1;369;162.35;MERCURE;Midscale;43;Southern Europe;A;Prime Location;EUROPE;FRANCE;TOWN;business;1;ALL Platinum;0;1;0;0;2021.0;10.0;Sunday;1;2021;1;Monday;0;2021;2;Thursday;0;0.0
9667;2535;0.0;1;3;1;A;1.0;0;1;444;195.5;MERCURE;Midscale;63;Southern Europe;A;Prime Location;EUROPE;FRANCE;None;leisure;1;ALL Platinum;0;1;0;0;2022.0;9.0;Wednesday;0;2022;9;Wednesday;0;2022;9;Thursday;0;0.0
